  alt    sigma     delta    theta   temp    press      dens    a    visc  k.visc
  Km                                  K    N/sq.m   kg/cu.m   m/s  kg/m-s sq.m/s
 830 7.3463E-15 1.4498E-13 3.4704 1000.0 1.469E-08 8.999E-15 633.9 41.52 4.61E+09
 835 7.0858E-15 1.4163E-13 3.4704 1000.0 1.435E-08 8.680E-15 633.9 41.52 4.78E+09
 840 6.8394E-15 1.3839E-13 3.4704 1000.0 1.402E-08 8.378E-15 633.9 41.52 4.96E+09
 845 6.6063E-15 1.3528E-13 3.4704 1000.0 1.371E-08 8.093E-15 633.9 41.52 5.13E+09
 850 6.3855E-15 1.3228E-13 3.4704 1000.0 1.340E-08 7.822E-15 633.9 41.52 5.31E+09
 855 6.1762E-15 1.2938E-13 3.4704 1000.0 1.311E-08 7.566E-15 633.9 41.52 5.49E+09
 860 5.9777E-15 1.2659E-13 3.4704 1000.0 1.283E-08 7.323E-15 633.9 41.52 5.67E+09
 865 5.7891E-15 1.2389E-13 3.4704 1000.0 1.255E-08 7.092E-15 633.9 41.52 5.85E+09
 870 5.6100E-15 1.2128E-13 3.4704 1000.0 1.229E-08 6.872E-15 633.9 41.52 6.04E+09
 875 5.4396E-15 1.1876E-13 3.4704 1000.0 1.203E-08 6.664E-15 633.9 41.52 6.23E+09
 880 5.2775E-15 1.1632E-13 3.4704 1000.0 1.179E-08 6.465E-15 633.9 41.52 6.42E+09
 885 5.1230E-15 1.1396E-13 3.4704 1000.0 1.155E-08 6.276E-15 633.9 41.52 6.62E+09
 890 4.9757E-15 1.1167E-13 3.4704 1000.0 1.132E-08 6.095E-15 633.9 41.52 6.81E+09
 895 4.8352E-15 1.0946E-13 3.4704 1000.0 1.109E-08 5.923E-15 633.9 41.52 7.01E+09
 900 4.7010E-15 1.0731E-13 3.4704 1000.0 1.087E-08 5.759E-15 633.9 41.52 7.21E+09
 905 4.5728E-15 1.0523E-13 3.4704 1000.0 1.066E-08 5.602E-15 633.9 41.52 7.41E+09
 910 4.4501E-15 1.0320E-13 3.4704 1000.0 1.046E-08 5.451E-15 633.9 41.52 7.62E+09
 915 4.3327E-15 1.0123E-13 3.4704 1000.0 1.026E-08 5.308E-15 633.9 41.52 7.82E+09
 920 4.2202E-15 9.9321E-14 3.4704 1000.0 1.006E-08 5.170E-15 633.9 41.52 8.03E+09
 925 4.1125E-15 9.7460E-14 3.4704 1000.0 9.875E-09 5.038E-15 633.9 41.52 8.24E+09
 930 4.0091E-15 9.5648E-14 3.4704 1000.0 9.692E-09 4.911E-15 633.9 41.52 8.45E+09
 935 3.9098E-15 9.3882E-14 3.4704 1000.0 9.513E-09 4.790E-15 633.9 41.52 8.67E+09
 940 3.8145E-15 9.2159E-14 3.4704 1000.0 9.338E-09 4.673E-15 633.9 41.52 8.89E+09
 945 3.7229E-15 9.0478E-14 3.4704 1000.0 9.168E-09 4.561E-15 633.9 41.52 9.10E+09
 950 3.6347E-15 8.8836E-14 3.4704 1000.0 9.001E-09 4.453E-15 633.9 41.52 9.33E+09
 955 3.5499E-15 8.7231E-14 3.4704 1000.0 8.839E-09 4.349E-15 633.9 41.52 9.55E+09
 960 3.4681E-15 8.5661E-14 3.4704 1000.0 8.680E-09 4.248E-15 633.9 41.52 9.77E+09
 965 3.3893E-15 8.4124E-14 3.4704 1000.0 8.524E-09 4.152E-15 633.9 41.52 1.00E+10
 970 3.3132E-15 8.2618E-14 3.4704 1000.0 8.371E-09 4.059E-15 633.9 41.52 1.02E+10
 975 3.2398E-15 8.1143E-14 3.4704 1000.0 8.222E-09 3.969E-15 633.9 41.52 1.05E+10
 980 3.1688E-15 7.9695E-14 3.4704 1000.0 8.075E-09 3.882E-15 633.9 41.52 1.07E+10
 985 3.1002E-15 7.8274E-14 3.4704 1000.0 7.931E-09 3.798E-15 633.9 41.52 1.09E+10
 990 3.0337E-15 7.6877E-14 3.4704 1000.0 7.790E-09 3.716E-15 633.9 41.52 1.12E+10
 995 2.9694E-15 7.5505E-14 3.4704 1000.0 7.651E-09 3.638E-15 633.9 41.52 1.14E+10
1000 2.9070E-15 7.4200E-14 3.4704 1000.0 7.518E-09 3.561E-15 633.9 41.52 1.17E+10
